#,ID_Year_Color,Movie_ID,Title,Year,IMDB score,Tomatometer,Popcornmeter,Director,Director Score,Budget,Gross Worldwide,Sentiment Analysis Score,Ticket Profit,Budget_num,Gross_num,Profit_num,Profit_Loss,SeriesID,SequelNo,Color,ProfitLabel
1,1_1_O,godfather_1,The Godfather,1972,9.2,97.0,98,Francis Ford Coppola,6.26,"$6,000,000","$250,595,410",55.88,"$119,297,705",6000000,250595410,119297705,Profit,1,1,O,1
2,1_2_O,godfather_2,The Godfather Part II,1974,9.0,96.0,97,Francis Ford Coppola,6.26,"$13,000,000","$48,105,107",58.11,"$11,052,554",13000000,48105107,11052554,Profit,1,2,O,1
3,1_3_O,godfather_3,The Godfather Part III,1990,7.6,66.0,68,Francis Ford Coppola,6.26,"$54,000,000","$136,861,392",44.54,"$14,430,696",54000000,136861392,14430696,Profit,1,3,O,1
4,2_1_O,diehard_1,Die Hard,1988,8.2,94.0,94,John McTiernan,6.54,"$28,000,000","$143,651,650",41.86,"$43,825,825",28000000,143651650,43825825,Profit,2,1,O,1
5,2_2_O,diehard_2,Die Hard 2,1990,7.2,69.0,70,Renny Harlin,5.41,"$70,000,000","$240,031,274",61.09,"$50,015,637",70000000,240031274,50015637,Profit,2,2,O,1
6,2_3_O,diehard_3,Die Hard with a Vengeance,1995,7.6,60.0,83,John McTiernan,6.54,"$90,000,000","$366,101,666",59.39,"$93,050,833",90000000,366101666,93050833,Profit,2,3,O,1
7,2_4_O,diehard_4,Live Free or Die Hard,2007,7.1,82.0,86,Len Wiseman,6.8,"$110,000,000","$388,156,011",64.29,"$84,078,006",110000000,388156011,84078006,Profit,2,4,O,1
8,2_5_O,diehard_5,A Good Day to Die Hard,2013,5.2,15.0,40,John Moore,5.67,"$92,000,000","$304,654,182",46.84,"$60,327,091",92000000,304654182,60327091,Profit,2,5,O,1
9,3_1_O,airplane_1,The airplane,1980,7.7,97.0,89,Jim Abrahams,6.63,"$3,500,000","$83,455,874",56.61,"$38,227,937",3500000,83455874,38227937,Profit,3,1,O,1
10,3_2_O,airplane_2,The airplane II,1988,6.2,42.0,50,Ken Finkleman,5.87,"$15,000,000","$27,150,534",25.16,"-$1,424,733",15000000,27150534,-1424733,Loss,3,2,O,0
